,0
0,sub-NDARINV7ELLRXA6
1,sub-NDARINVL0M87H37
2,sub-NDARINVNM82BUZL
3,sub-NDARINVYZ353ZBM
4,sub-NDARINVHWPWW944
5,sub-NDARINV10F7NTCV
6,sub-NDARINVDW1BKLJN
7,sub-NDARINVL7YXYKK6
8,sub-NDARINVKPZYYKTG
9,sub-NDARINVKU7P8BC5
10,sub-NDARINVX14LJX8Z
11,sub-NDARINVX1BU9BL8
12,sub-NDARINVXU10E0J7
13,sub-NDARINVBJDX22E8
14,sub-NDARINVBL4HN6F4
15,sub-NDARINVAWP77RE3
16,sub-NDARINVAYLJ9DAH
17,sub-NDARINV88NLCD99
18,sub-NDARINV8J86AFF3
19,sub-NDARINV8P2LE3UR
20,sub-NDARINV85V6822C
21,sub-NDARINV874HFG94
22,sub-NDARINV3MFBHV8Y
23,sub-NDARINV1G6W1PLY
24,sub-NDARINVPLMH5DCB
25,sub-NDARINVPCG19NKC
26,sub-NDARINVULE1VKVR
27,sub-NDARINVUN2RARPC
28,sub-NDARINVURV9HRCM
29,sub-NDARINVVRZT93M0
30,sub-NDARINVUWNVH2C7
31,sub-NDARINVUV4YZKVK
32,sub-NDARINVV2VWE59Y
33,sub-NDARINVXV9TRYCZ
34,sub-NDARINVVL1JXMTC
35,sub-NDARINVVMHC7BEX
36,sub-NDARINVW1J6282F
37,sub-NDARINV7V53915E
38,sub-NDARINV6ZTLWMWW
39,sub-NDARINV71MKD752
40,sub-NDARINV683LRYEL
41,sub-NDARINVX7KKFJ5E
42,sub-NDARINVWVW0NNAD
43,sub-NDARINVWTZBXDFP
44,sub-NDARINVUZMCUYWY
45,sub-NDARINVWX3C6A3L
46,sub-NDARINVJ5VHD38X
47,sub-NDARINVJ4VKABK8
48,sub-NDARINVJ7HK4WZJ
49,sub-NDARINVJ8DBDHF8
50,sub-NDARINVK1YWL2JC
51,sub-NDARINVL0G212AD
52,sub-NDARINVK4H5ZTFE
53,sub-NDARINVPB6882BP
54,sub-NDARINVRTN0KC8U
55,sub-NDARINVBDAMTERV
56,sub-NDARINVT4BR7L9V
57,sub-NDARINVT3PA9AKY
58,sub-NDARINVR674GFP1
59,sub-NDARINVTCT40GNY
60,sub-NDARINVV85CH77G
61,sub-NDARINVU2JURFC1
62,sub-NDARINVU3FAGM3X
63,sub-NDARINVZ6TDLDW8
64,sub-NDARINVWB92DZLU
65,sub-NDARINVXYBXW9GB
66,sub-NDARINVZ6950R7M
67,sub-NDARINVYTJ92RU3
68,sub-NDARINVVZ76D1UR
69,sub-NDARINVVZJC6YFE
70,sub-NDARINVEJ0L9HZA
71,sub-NDARINVEGCJDH40
72,sub-NDARINVVD8NUGKM
73,sub-NDARINVVDK9BUDJ
74,sub-NDARINVVGTN3KC5
75,sub-NDARINVVLPZ13ZY
76,sub-NDARINVZZ0348LF
77,sub-NDARINVZZZ2ALR6
78,sub-NDARINVU5DHD2B7
79,sub-NDARINVXKM6GP8D
80,sub-NDARINVUGT2AFVT
81,sub-NDARINVWGWA2P38
82,sub-NDARINVXY7EBP6K
83,sub-NDARINVYCVPJ3MW
84,sub-NDARINVYN4CXY1B
85,sub-NDARINVXBB6NT2L
86,sub-NDARINVXGT4UWYN
87,sub-NDARINVEP4T9K93
88,sub-NDARINVGWVK97F4
89,sub-NDARINVGXU8LUL5
90,sub-NDARINVGR764V5U
91,sub-NDARINVH1WJETZ1
92,sub-NDARINVHXL07E2D
93,sub-NDARINVHY2NHY1C
94,sub-NDARINVHXXXE672
95,sub-NDARINVHXT4NEXA
96,sub-NDARINVEPM1GJ03
97,sub-NDARINVGD6JWJWD
98,sub-NDARINVGDJR5U4A
99,sub-NDARINVF68FFNZG
100,sub-NDARINVF5TKJL3R
101,sub-NDARINVFTMK8040
102,sub-NDARINVFWF61N9N
103,sub-NDARINVNV8R8VAU
104,sub-NDARINVJE8U3WEP
105,sub-NDARINVJE7AU0B9
106,sub-NDARINVL9M95R6P
107,sub-NDARINVLBZW40WR
108,sub-NDARINVNC5V6UTJ
109,sub-NDARINVNRRH2V7K
110,sub-NDARINVNK12ULUJ
111,sub-NDARINVJGM06GHD
112,sub-NDARINVJK6VB601
113,sub-NDARINVJD8XXLGE
114,sub-NDARINVKM0BYRA9
115,sub-NDARINVLVJNK52B
116,sub-NDARINVLVLGKC0B
117,sub-NDARINVLL0J4VDZ
118,sub-NDARINVMH4PJ6L9
119,sub-NDARINVMKNER6N9
120,sub-NDARINVMKPVUMW3
121,sub-NDARINVNP98F2ZZ
122,sub-NDARINVNKNMHEML
123,sub-NDARINVLVW41722
124,sub-NDARINVLXWDWVR4
125,sub-NDARINVNHBWEUN0
126,sub-NDARINVLDP9RT86
127,sub-NDARINVLEZ9WYBX
128,sub-NDARINVY19N2XDD
129,sub-NDARINVGT4WJT38
130,sub-NDARINVHAP0JZTR
131,sub-NDARINVHT6KEU1H
132,sub-NDARINVG2H30ATD
133,sub-NDARINVG2P3W364
134,sub-NDARINVDG2H0995
135,sub-NDARINVD9GD4VKM
